name,age,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,body_type,release_clause_eur,team_position,team_jersey_number,joined,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_league,likes,dislikes,follows,comments,minutes_played_overall,goals_overall,clean_sheets_overall
Wojciech  Szczęsny,28,195,90,Poland,Juventus,84,86,26000000,115000,Right,3,3,1,Lean,44900000.0,GK,1,19/07/2017,2021,,,,,,,85.0,81.0,71.0,87.0,49.0,82.0,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,15,71,45,65,14,40,15,14,48,18,65,20,13,12,85,81,71,82,87, Italian Serie A (1),35.0,9.0,119.0,"['he is one of the best goalkeepers in the world ', 'Much deserved upgrade, easily been the best part of our defence.', ""He's come a long way ever since being a baboon at Arsenal."", '87/89', ""I swear when he was at Arsenal I thought he'd end up with no more than 80 OVR by 2020."", '2+ potential at 29?', 'Keepers can improve exponentially after most outfield players\' ""peak"" years. ', ""Metallica's James Hetfield Wojciech Szczęsny -"", '', '', '', '', '', '', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2520,0,11
Anthony Lopes,27,184,81,Portugal,Olympique Lyonnais,84,86,25000000,72000,Left,2,2,1,Normal,49400000.0,GK,1,01/07/2011,2020,,,,,,,86.0,80.0,74.0,87.0,64.0,81.0,19,18,16,32,13,15,15,14,31,21,63,64,67,84,62,20,82,36,73,18,43,25,9,48,16,65,13,15,13,86,80,74,81,87, French Ligue 1 (1),66.0,7.0,466.0,"['Reactions 88', '', '86/88', 'Very bad I think he is 81 max extremely overrated. The only positive point is his speed', 'I would say 85/87.', '86/88', ""86 88, le sauveur de l'OL"", '80 80 extremely overrated ', '86/88 with no problem', 'Nice joke', '?', '86/88 ', ""Extraordinaire gardien. L'un des meilleurs de ligue 1"", '80/80', 'Average GK', 'Fair when you see last big mistakes he did in Europe and Ligue 1', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",3060,0,9
Sergio  Asenjo Andrés,29,189,87,Spain,Villarreal CF,84,85,24000000,42000,Right,2,3,1,Stocky,52200000.0,GK,1,30/06/2014,2022,,,,,,,85.0,83.0,77.0,84.0,56.0,82.0,24,14,13,39,15,15,23,22,39,14,59,54,62,79,58,24,73,41,73,13,20,22,12,46,15,64,24,15,14,85,83,77,82,84, Spain Primera Division (1),12.0,0.0,100.0,"['What a bullshit downgrade, his team sucks, if it wasn’t for him they would probably be last in the league...', ""Downgrading Villareal's best player this season, wow."", 'Yep if he played bpl would be 88', 'This guy is a beast, he could easily play for a top team. 86/86 would be fair.', ""One of those players that go under radar cause they play for a non top team easily would be 86 to 90 and considered one I'd the best if he went to a top club"", 'What is up with keepers getting 2* skill moves?', 'Been taken away now, I swear EA just do random upgrades/downgrades for the sake of them being bored.', 'It  happens in CM, I get youth academy players with 2* skills.', 'Skilllls. Always said some GK’s should have at least 2*, ball rolls and cruyff turns are quite common with the more comfortable on the ball keepers', 'Better than Leno yet has the same rating.', 'Actually they both need an upgrade tbh', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2880,0,9
Kasper Schmeichel,31,189,89,Denmark,Leicester City,84,84,19000000,78000,Right,2,3,1,Stocky,36100000.0,GK,1,01/06/2011,2023,,,,,,,83.0,77.0,82.0,88.0,60.0,80.0,18,12,16,44,15,12,13,15,46,40,60,60,62,81,47,36,60,34,64,14,35,20,13,59,26,67,14,14,13,83,77,82,80,88, English Premier League (1),41.0,4.0,132.0,"['85 ', '85-86, not an 83', '83 for him is a joke. 86/86', ""He hasn't had an upgrade in 3 years."", 'Surely 85 or smth?', '85/85', 'Very underrated, hes actually a really good keeper. 86 imo', 'same thing as what I said for Vardy 86-88 but his rating will never be accurate because of the club he plays for', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",3420,0,10
Stéphane Ruffier,31,188,93,France,AS Saint-Étienne,84,84,19000000,41000,Right,3,3,1,Stocky,36100000.0,GK,16,11/07/2011,2021,,,,,,,82.0,84.0,77.0,82.0,48.0,85.0,11,11,12,33,13,12,17,12,34,15,45,50,51,78,55,21,72,37,76,11,31,25,12,49,25,66,13,12,11,82,84,77,85,82, French Ligue 1 (1),28.0,2.0,124.0,"['Saint-Etienne still being a big club in le France :)', 'Benzema 2.0', 'I love you', 'Really shocked he never left Saint Etienne, class keeper.', ""He's a true legend for Les Verts"", 'Reflexes 87, 82 is ridiculous, handling 86, diving 85, OVR 85/85', 'Very good GK, underrated', ""83/83 he can't be on the same level as Kepa Arrizabalaga"", 'Kepa is shit', 'he is better lol', 'Why not comeback to AS Monaco ?', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",3330,0,13
Lukáš Hrádecký,28,190,80,Finland,Bayer 04 Leverkusen,84,84,22000000,74000,Right,2,3,1,Lean,37400000.0,GK,1,01/07/2018,2023,,,,,,,85.0,79.0,68.0,88.0,41.0,82.0,11,11,11,15,9,10,11,15,20,20,38,44,43,83,39,14,69,34,55,14,31,18,9,53,20,48,10,10,13,85,79,68,82,88, German 1. Bundesliga (1),26.0,2.0,130.0,"['Vision needs -3 so that his vision is exactly half', 'New IF?? WHAT A GAME!!!!', 'Non sense downgrade should be 85/85', '82KG', 'https://www.bayer04.de/en-us/player/werkself/bayer-04-leverkusen/lukas-hradecky', 'Atrocious stats for Leverkusen.', '83 Handling', '85/87', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2880,0,9
Kepa Arrizabalaga,23,187,85,Spain,Chelsea,83,91,28500000,84000,Right,1,4,1,Lean,58400000.0,GK,1,08/08/2018,2025,,,,,,,84.0,80.0,76.0,84.0,33.0,80.0,25,11,17,32,18,10,25,19,36,16,34,33,41,79,39,25,71,37,51,14,18,21,15,55,24,63,19,18,16,84,80,76,80,84, English Premier League (1),132.0,25.0,893.0,"['1. Alisson | 83%', '2. Dean Henderson | 75%', '3. Vicente Guaita | 73%', '4. Kasper Schmeichel | 73%', '5. Martin Dubravka | 71%', '6. Bernd Leno | 71%', '7. Matt Ryan | 71%', '8. Paulo Gazzaniga | 69%', '9. Alex McCarthy | 69%', '10. David de Gea | 68%', '11. Aaron Ramsdale | 67%', '12. Ederson | 66%', '13. Ben Foster | 66%', '14. Tom Heaton | 64%', '15. Jordan Pickford | 64%', '16. Tim Krul | 63%', '17. Rui Patricio | 62%', '18. Nick Pope | 60%', '19. Kepa Arrizabalaga | 55%', '']",3240,0,14
Jordan Pickford,24,185,77,England,Everton,83,86,23500000,78000,Left,1,4,1,Normal,46400000.0,GK,1,15/06/2017,2022,,,,,,,83.0,77.0,88.0,86.0,48.0,80.0,17,19,15,53,20,14,18,16,54,38,53,44,55,82,55,31,72,45,69,13,25,24,18,68,41,69,11,20,12,83,77,88,80,86, English Premier League (1),62.0,6.0,746.0,"['Too error prone ,if him and stones start for England in the euros it’s gonna be a disaster ', 'Handling 77 - 75', 'Kicking 87 - 85', 'Reflexes 85 - 87', 'Has to be one of the most overrated players in recent epl history  ', 'Another mistake from a shit goalkeeper. This is one area Ancelotti definitely needs to improve ', 'Yikes, that Benteke goal was a howler ', 'I personally think he’s been decent this season. Hasn’t been helped by a very inconsistent defence. One week he’s got Maldini in front of him and the next the travelling circus.', '', 'Normally though he makes some really good saves but the odd mistake ruins it', 'And I have watched every Everton game this season so I’ve seen him a lot', 'i dunno he and de gea always make epic diving saves but handling is really poor this season.', '', '', '83/86 is pretty generous for him this season. ', '', '', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",3420,0,14
Ralf Fährmann,29,197,98,Germany,FC Schalke 04,83,84,20000000,38000,Right,2,1,1,Normal,35500000.0,GK,1,01/07/2011,2022,,,,,,,83.0,81.0,52.0,87.0,43.0,82.0,14,11,15,25,11,15,18,11,26,24,38,47,39,83,36,24,72,32,79,9,36,23,11,42,21,61,10,12,10,83,81,52,82,87, German 1. Bundesliga (1),34.0,2.0,122.0,"['Thats bs, he was cleared following the Palace game he was taken off in and was on the bench even before then...', ""He can't even be a starter for Norwich now???"", ""Why is this his mistake? He's new to the club, Krul isn't that bad and had a good season at Norwich. I don't know why they bought him at all, because parking Krul on the bench would have been very disrespectful. He will get his chance at Norwich."", ""I never said it was anybody's mistake, I was just genuinely surprised"", 'Krul knows his defenders and the premier League well too', ""Krul played the first few games because he was norwichs #1 last season and did well Fahrmann couldn't do anything"", 'This is a rather interesting situation.', ""Schalke have brought in Markus Schubert, another promising young gk. Doesn't make much sense with Nübel in the squad, you'd generally prefer an experienced backup gk."", '', 'At the same time, Fährmann here has been loaned to Norwich and for a rather big fee (for a loan) of 3m€, and *without* a buyout clause.', '', 'With all this happening, the talks about Nübel have suddenly ceased.', '', 'This smells to me of another ""Gnabry"" deal. It seems to me that Bayern have secretly secured Nübel\'s move for next season. Schubert will be the backup gk this season. Next season, Fährmann will return and will fight for his place against Schubert. Schubert in the meantime will have this season to try and impress Wagner and dhow that he is ready to take the mantle of 1st choice gk next season.', 'It seems you were right :(', 'what a prediction mate fair play ', '81/81', 'Norwich wtf', 'What a downgrade go to Norwich...', 'Not really a downgrade. He was poor last season and lost his starting spot to Nubel']",1469,0,3
Oliver Baumann,28,187,82,Germany,TSG 1899 Hoffenheim,83,84,21000000,42000,Right,2,3,1,Normal,37300000.0,GK,1,01/07/2014,2021,,,,,,,82.0,82.0,70.0,85.0,49.0,82.0,14,11,16,30,11,19,12,11,25,17,47,51,45,81,43,21,73,39,69,13,32,21,10,41,22,52,15,18,14,82,82,70,82,85, German 1. Bundesliga (1),7.0,0.0,69.0,"['84/85', 'Diving 85', 'Handling 83', 'Positioning 82', 'Bit overrated, not better than Leno, Asenjo or Neto', 'Thats why they all have more potential then him', ""He's not overrated at all."", 'So good  85/86 Rating with +1 pot.', 'Overrated. 78/80', 'Wtf? More like underrated. You clearly havent seen him play', 'Did you saw him yesterday?', 'One bad match dosent mean he is overrated', 'Idiot it was ONE bad match', ""One of the worst goalkeepers I have used beaten at his near post constantly and can't save longshots. Also never catches the ball."", 'The near post in career mode happens to every keeper, its annoying', ""Trapp and Leno got called up for the WC but Fahrmann, Horn and Baumann don't... sometimes I wonder what goes on in our national team managers head."", 'Leno deserves to be called up to WC. For Trapp, serious no sense. Not only Fahrmann, Horn, Baumann but also Karius, Ulreich, Zieler, Adler are better than him for sure', 'also Karius? :D', 'Yes', ""That mistakes is influenced by Ramos, just one min before mistake ,Ramos use elbow hit Karius and referee didn't see that""]",2970,0,5
Steve Mandanda,33,185,82,France,Olympique de Marseille,83,83,13000000,51000,Right,3,3,1,Normal,24700000.0,GK,30,11/07/2017,2020,,,,,,,86.0,81.0,70.0,84.0,48.0,79.0,14,13,13,37,13,15,13,12,28,17,53,43,52,80,36,24,74,31,61,11,37,23,11,55,11,64,13,15,13,86,81,70,79,84, French Ligue 1 (1),24.0,5.0,102.0,"['He deserves 83 or 84 now.', 'méritait 80 avant le début de saison, mérite 82 voire 83 maintenant', 'Ok il revient à un très bon niveau', ""C'est un up merdique sur des stats pas importantes du tout...De l'enculage de mouches quoi, pas nouveau de la part de EA, car on va pas me dire qu'il est moins que Ruffier qui lui et resté à 83..."", 'de ouf il mérite au moins 85 reflexes 84 positionnement et même un 83 de gén plutot que des stats du bled ', '82/82 and 86 reflex', '83 / 83', 'He clearly needs an upgrade, he makes decisive saves each game.', '+2 for him', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2737,0,9
